normDistAlong	normRI	fraction
0.0875	0.15	0.007930102
0.0875	0.25	0.010835788
0.0875	0.35	0.015698778
0.0875	0.45	0.02235764
0.0875	0.55	0.035231445
0.0875	0.65	0.058638364
0.0875	0.75	0.07948263
0.0875	0.85	0.09326446
0.0875	0.95	0.11001251
0.0875	1.05	0.112494454
0.0875	1.15	0.09768352
0.0875	1.25	0.07272287
0.0875	1.35	0.051031116
0.0875	1.45	0.037229106
0.0875	1.55	0.027543485
0.0875	1.65	0.020420518
0.0875	1.75	0.016082166
0.0875	1.85	0.011642924
0.0875	1.95	0.009766335
0.0875	2.05	0.0065579726
0.0875	2.15	0.0056095887
0.0875	2.25	0.003692643
0.0875	2.35	0.0025222972
0.0875	2.45	0.0019573024
0.0875	2.55	9.887405E-4
0.0875	2.65	7.667783E-4
0.0875	2.75	6.053513E-4
0.0875	2.85	2.8249726E-4
0.0875	2.95	2.0178377E-4
0.0875	3.05	2.2196214E-4
0.0875	3.15	1.00891884E-4
0.0875	3.25	2.0178377E-4
0.0875	3.35	4.0356754E-5
0.0875	3.45	4.0356754E-5
0.0875	3.55	6.053513E-5
0.0875	3.65	6.053513E-5
0.0875	3.75	2.0178377E-5
0.0875	3.85	4.0356754E-5
0.0875	3.95	2.0178377E-5
0.0875	4.05	2.0178377E-5
0.0875	4.15	0.0
0.0875	4.25	0.0
0.0875	4.35	0.0
0.0875	4.45	0.0
0.0875	4.55	0.0
0.0875	4.65	0.0
0.0875	4.75	0.0
0.0875	4.85	0.0
0.0875	4.95	2.0178377E-5
0.1125	0.05	0.089736186
0.1125	0.15	0.007664163
0.1125	0.25	0.011457732
0.1125	0.35	0.014923936
0.1125	0.45	0.02112459
0.1125	0.55	0.033872522
0.1125	0.65	0.05453495
0.1125	0.75	0.07305989
0.1125	0.85	0.090179086
0.1125	0.95	0.10633545
0.1125	1.05	0.11245908
0.1125	1.15	0.09387637
0.1125	1.25	0.075909875
0.1125	1.35	0.05536299
0.1125	1.45	0.03922588
0.1125	1.55	0.029616792
0.1125	1.65	0.022742152
0.1125	1.75	0.017369537
0.1125	1.85	0.0134989405
0.1125	1.95	0.010610437
0.1125	2.05	0.008819565
0.1125	2.15	0.0057962644
0.1125	2.25	0.0037165415
0.1125	2.35	0.0027729636
0.1125	2.45	0.0019064124
0.1125	2.55	0.0010206046
0.1125	2.65	8.665511E-4
0.1125	2.75	4.814173E-4
0.1125	2.85	2.50337E-4
0.1125	2.95	1.5405353E-4
0.1125	3.05	1.9256692E-4
0.1125	3.15	5.7770074E-5
0.1125	3.25	1.5405353E-4
0.1125	3.35	5.7770074E-5
0.1125	3.45	1.9256691E-5
0.1125	3.55	7.7026765E-5
0.1125	3.65	3.8513383E-5
0.1125	3.75	5.7770074E-5
0.1125	3.85	0.0
0.1125	3.95	0.0
0.1125	4.05	0.0
0.1125	4.15	0.0
0.1125	4.25	0.0
0.1125	4.35	0.0
0.1125	4.45	0.0
0.1125	4.55	0.0
0.1125	4.65	0.0
0.1125	4.75	0.0
0.1125	4.85	0.0
0.1125	4.95	0.0
0.1375	0.05	0.08271537
0.1375	0.15	0.006349455
0.1375	0.25	0.008998981
0.1375	0.35	0.013247629
0.1375	0.45	0.020459356
0.1375	0.55	0.030210864
0.1375	0.65	0.051971465
0.1375	0.75	0.074233755
0.1375	0.85	0.08933135
0.1375	0.95	0.10877165
0.1375	1.05	0.11436858
0.1375	1.15	0.1027044
0.1375	1.25	0.081351414
0.1375	1.35	0.05792898
0.1375	1.45	0.042031825
0.1375	1.55	0.030336287
0.1375	1.65	0.021964412
0.1375	1.75	0.016571295
0.1375	1.85	0.012463746
0.1375	1.95	0.009939641
0.1375	2.05	0.00725876
0.1375	2.15	0.0056282827
0.1375	2.25	0.003574508
0.1375	2.35	0.0025711374
0.1375	2.45	0.0015677668
0.1375	2.55	0.001081759
0.1375	2.65	5.330407E-4
0.1375	2.75	4.2329702E-4
0.1375	2.85	4.2329702E-4
0.1375	2.95	2.8219802E-4
0.1375	3.05	1.7245434E-4
0.1375	3.15	1.7245434E-4
0.1375	3.25	6.271067E-5
0.1375	3.35	4.7033E-5
0.1375	3.45	6.271067E-5
0.1375	3.55	3.1355336E-5
0.1375	3.65	6.271067E-5
0.1375	3.75	3.1355336E-5
0.1375	3.85	3.1355336E-5
0.1375	3.95	0.0
0.1375	4.05	1.5677668E-5
0.1375	4.15	0.0
0.1375	4.25	0.0
0.1375	4.35	0.0
0.1375	4.45	0.0
0.1375	4.55	0.0
0.1375	4.65	0.0
0.1375	4.75	0.0
0.1375	4.85	0.0
0.1375	4.95	1.5677668E-5
0.1625	0.05	0.09865934
0.1625	0.15	0.0071735485
0.1625	0.25	0.00923894
0.1625	0.35	0.014494624
0.1625	0.45	0.020026924
0.1625	0.55	0.03347041
0.1625	0.65	0.052169584
0.1625	0.75	0.072491564
0.1625	0.85	0.08744721
0.1625	0.95	0.10409943
0.1625	1.05	0.11029561
0.1625	1.15	0.09316392
0.1625	1.25	0.07483357
0.1625	1.35	0.059933245
0.1625	1.45	0.04232209
0.1625	1.55	0.03120217
0.1625	1.65	0.02200011
0.1625	1.75	0.018035296
