2.8646696 , 0.5442872 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),33.3,default,default,0.15
2.4213848 , 0.4600631 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),33.3,default,default,0.3
2.0018706 , 0.38035545 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),33.3,default,default,0.44999999999999996
2.7771618 , 0.5276608 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),66.6,default,default,0.0
2.3920648 , 0.45449233 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),66.6,default,default,0.15
2.0321808 , 0.38611436 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),66.6,default,default,0.3
1.6960677 , 0.32225287 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),66.6,default,default,0.44999999999999996
2.2211564 , 0.4220197 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.0
1.9194602 , 0.36469743 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.15
1.6429769 , 0.31216562 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.3
1.3902646 , 0.2641503 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.44999999999999996
3.876017 , 0.7364433 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.0
3.3423407 , 0.63504475 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.15
2.9023411 , 0.5514448 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.3
2.475778 , 0.47039786 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.44999999999999996
3.3200116 , 0.6308022 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.0
2.869736 , 0.5452498 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.15
2.5131373 , 0.4774961 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.3
2.169975 , 0.41229525 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.44999999999999996
2.764006 , 0.52516115 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.0
2.3971312 , 0.45545492 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.15
2.1239333 , 0.40354735 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.3
1.864172 , 0.35419267 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.44999999999999996
2.2080004 , 0.41952008 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.0
1.9245265 , 0.36566004 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.15
1.7347294 , 0.3295986 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.3
1.5583689 , 0.2960901 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.44999999999999996
3.8732114 , 0.7359102 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.0
